title; artist; popularity
Luckenbach, Texas (Back to the Basics of Love) (feat. Willie Nelson); Waylon Jennings; 54
Good Hearted Woman; Waylon Jennings; 74
I've Always Been Crazy; Waylon Jennings; 63
The Gambler; Kenny Rogers; 90
Lucille; Kenny Rogers; 68
Coward Of The County; Kenny Rogers; 61
Islands In the Stream; Dolly Parton; 85
Rhinestone Cowboy; Glen Campbell; 81
Wichita Lineman - Remastered 2001; Glen Campbell; 67
Galveston - Remastered 2001; Glen Campbell; 64
By The Time I Get To Phoenix - Remastered 2001; Glen Campbell; 69
Gentle On My Mind - Remastered 2001; Glen Campbell; 74
Suspicious Minds; Elvis Presley; 86
Jailhouse Rock; Elvis Presley; 89
Hound Dog; Elvis Presley; 83
Can't Help Falling in Love; Elvis Presley; 77
Love Me Tender; Elvis Presley; 79
Heartbreak Hotel; Elvis Presley; 74
Don't Be Cruel; Elvis Presley; 78
All Shook Up; Elvis Presley; 79
Return to Sender - From Girls! Girls! Girls!; Elvis Presley; 53
Are You Lonesome Tonight?; Elvis Presley; 76
It's Now or Never; Elvis Presley; 79
A Little Less Conversation - JXL Radio Edit Remix; Elvis Presley; 30
In the Ghetto; Elvis Presley; 80
Blue Suede Shoes; Elvis Presley; 83
That's All Right; Elvis Presley; 72
Good Morning Judge; Wynonie Harris; 47
Rocket 88 - Single Version; Jackie Brenston & His Delta Cats; 33
Tutti Frutti; Little Richard; 73
Long Tall Sally (The Thing); Little Richard; 72
Good Golly Miss Molly; Little Richard; 77
Lucille; Little Richard; 68
Rip It Up; Little Richard; 59
ALL THE LOVE (feat. Andre Troutman); Kanye West; 70
Do You Really Want To Hurt Me; Culture Club; 84
Hyper Hyper; Scooter; 72
Move Your Ass!; Scooter; 64
How Much Is The Fish?; Scooter; 69
Wahnsinn; Wolfgang Petry; 71
Verlieben, verloren, vergessen, verzeih'n; Wolfgang Petry; 53
Ice Ice Baby; Vanilla Ice; 92
Stayin' Alive - From Saturday Night Fever Soundtrack; Bee Gees; 54
Go Your Own Way - 2004 Remaster; Fleetwood Mac; 44
Don't Stop 'Til You Get Enough; Michael Jackson; 73
Another Brick in the Wall, Pt. 2; Pink Floyd; 66
I Will Survive; Gloria Gaynor; 89
Night Fever - From Saturday Night Fever Soundtrack; Bee Gees; 49
Dreams - 2004 Remaster; Fleetwood Mac; 49
September; Earth, Wind & Fire; 75
Heart Of Glass; Blondie; 76
Mamma Mia; ABBA; 92
Y.M.C.A; Village People; 79
Le Freak - 2018 Remaster; CHIC; 47
Rocket Man (I Think It's Going To Be A Long, Long Time); Elton John; 71
Tiny Dancer; Elton John; 90
Your Song; Elton John; 89
Life on Mars? - 2015 Remaster; David Bowie; 33
Starman - 2012 Remaster; David Bowie; 59
Kashmir - Remaster; Led Zeppelin; 83
Immigrant Song - Remaster; Led Zeppelin; 88
Black Dog - Remaster; Led Zeppelin; 85
We Will Rock You - Remastered 2011; Queen; 93
We Are The Champions - Remastered 2011; Queen; 90
Don't Stop Me Now - Remastered 2011; Queen; 82
Killer Queen - Remastered 2011; Queen; 91
Somebody To Love - Remastered 2011; Queen; 92
Waterloo; ABBA; 86
Take A Chance On Me; ABBA; 88
Gimme! Gimme! Gimme! (A Man After Midnight); ABBA; 61
Knowing Me, Knowing You; ABBA; 71
How Deep Is Your Love; Bee Gees; 94
Jive Talkin'; Bee Gees; 47
Tragedy; Bee Gees; 79
Wish You Were Here; Pink Floyd; 84
Money; Pink Floyd; 86
Comfortably Numb; Pink Floyd; 82
